Year;CommodityCode;CropName;CountyCode;County;HarvestedAcres;Yield(Unit/Acre);Production;Price(Dollars/Unit);Unit;Value(Dollars)
1980;216299;GRAPESWINE;69;SanBenito;4500;3.00;13500;450;TONS;6075000
1981;216299;GRAPESWINE;69;SanBenito;4550;2.80;12750;500;TONS;6375000
1982;216299;GRAPESWINE;69;SanBenito;4575;3.10;14180;400;TONS;5672000
1983;216299;GRAPESWINE;69;SanBenito;3950;3.40;13430;420;TONS;5641000
1984;216299;GRAPESWINE;69;SanBenito;4000;3.00;12000;390;TONS;4680000
1985;216299;GRAPESWINE;69;SanBenito;2600;3.50;9100;400;TONS;3640000
1986;216299;GRAPESWINE;69;SanBenito;2000;3.70;7400;400;TON;2960000
1987;216299;GRAPESWINE;69;SanBenito;1700;2.20;3740;455;TONS;1701000
1988;216299;GRAPESWINE;69;SanBenito;1700;3.90;6630;505;TONS;3348000
1989;216299;GRAPESWINE;69;SanBenito;1700;4.10;6970;475;TONS;3311000
1990;216299;GRAPESWINE;69;SanBenito;1800;3.65;6570;495;TONS;3252000
1991;216299;GRAPESWINE;69;SanBenito;1773;4.19;7429;512;TONS;3804000
1992;216299;GRAPESWINE;69;SanBenito;2025;4.62;9355;606;TONS;5669000
1993;216299;GRAPESWINE;69;SanBenito;1753;4.08;7152;751;TONS;5371000
1994;216299;GRAPESWINE;69;SanBenito;1665;3.96;6593;808;TONS;5327000
1995;216299;GRAPESWINE;69;SanBenito;2125;3.57;7586;895;TONS;6789000
1996;216299;GRAPESWINE;69;SanBenito;2125;3.62;7693;1259;TONS;9685000
1997;216299;GRAPESWINE;69;SanBenito;2125;5.55;11794;1381;TONS;16288000
1998;216299;GRAPESWINE;69;SanBenito;2255;3.19;7194;1440;TONS;10359000
1999;216299;GRAPESWINE;69;SanBenito;2494;3.66;9128;1474;TON;13455000
2000;216299;GRAPESWINE;69;SanBenito;2563;4.33;11100;1628;TON;18071000
2001;216299;GRAPESWINE;69;SanBenito;2975;4.25;12644;1254;TONS;15856000
2002;216299;GRAPESWINE;69;SanBenito;3079;3.20;9853;1585;TON;15617000
2003;216299;GRAPESWINE;69;SanBenito;3163;4.57;14455;1510.00;TON;21827000
2004;216299;GRAPESWINE;69;SanBenito;3636;3.32;12072;1567.01;TONS;18917000
2005;216299;GRAPESWINE;69;SanBenito;3672;4.58;16818;1188.01;TONS;19980000
2006;216299;GRAPESWINE;69;SanBenito;3788;4.20;15910;1229.98;TONS;19569000
2007;216299;GRAPESWINE;69;SanBenito;3806;5.41;20590;1179.99;TON;24296000
2008;216299;GRAPESWINE;69;SanBenito;3806;3.30;12560;1107.01;TON;13904000
2009;216299;GRAPESWINE;69;SanBenito;3806;4.75;18079;1042.98;Tons;18856000
2010;216299;GRAPESWINE;69;SanBenito;3690;5.12;18900;894.66;Tons;16909000
2011;216299;GRAPESWINE;69;SanBenito;3650;3.75;13700;1026.06;Tons;14057000
2012;216299;GRAPESWINE;69;SanBenito;3650;4.77;17400;1097.53;Tons;19097000
2013;216299;GRAPESWINE;69;SanBenito;3890;4.06;15800;1377.97;tons;21772000
2014;216299;GRAPESWINE;69;SanBenito;4470;2.86;12800;1198.05;Tons;15335000
2015;216299;GRAPESWINE;69;SanBenito;4120;3.37;13900;1321.80;Tons;18373000
2016;216299;GRAPESWINE;69;SanBenito;4380;4.86;21300;1460.89;Tons;31117000
2017;216299;GRAPESWINE;69;SanBenito;4380;4.86;21300;1460.89;Tons;31117000
2018;216299;GRAPESWINE;69;SanBenito;4740;4.77;22600;1500.66;Tons;33915000
2019;216299;GRAPESWINE;69;SanBenito;4740;4.62;21900;1526.21;Tons;33424000
2020;216299;GRAPESWINE;69;SanBenito;4740;5.23;24800;1402.14;Tons;34773000
