Date;Close
09/08/2018;23.496.668
10/08/2018;23.699.333
13/08/2018;23.760.668
14/08/2018;23.176.001
15/08/2018;22.579.332
16/08/2018;22.363.333
17/08/2018;20.366.667
20/08/2018;20.562.668
21/08/2018;21.459.999
22/08/2018;21.442.667
23/08/2018;21.340.000
24/08/2018;21.521.334
27/08/2018;21.284.666
28/08/2018;20.790.667
29/08/2018;20.334.000
30/08/2018;20.209.999
31/08/2018;20.110.666
04/09/2018;19.263.332
05/09/2018;18.716.000
06/09/2018;18.730.000
07/09/2018;17.549.334
10/09/2018;19.033.333
11/09/2018;18.629.333
12/09/2018;19.369.333
13/09/2018;19.297.333
14/09/2018;19.680.000
17/09/2018;19.656.000
18/09/2018;18.997.334
19/09/2018;19.934.668
20/09/2018;19.888.666
21/09/2018;19.940.001
24/09/2018;19.978.666
25/09/2018;20.066.000
26/09/2018;20.638.666
27/09/2018;20.501.333
28/09/2018;17.651.333
01/10/2018;20.713.333
02/10/2018;20.068.001
03/10/2018;19.653.334
04/10/2018;18.788.668
05/10/2018;17.463.333
08/10/2018;16.704.000
09/10/2018;17.520.000
10/10/2018;17.125.334
11/10/2018;16.815.332
12/10/2018;17.252.001
15/10/2018;17.306.000
16/10/2018;18.439.333
17/10/2018;18.118.668
18/10/2018;17.594.000
19/10/2018;17.333.332
22/10/2018;17.396.667
23/10/2018;19.609.333
24/10/2018;19.233.334
25/10/2018;20.990.667
26/10/2018;22.059.999
29/10/2018;22.323.334
30/10/2018;21.993.334
31/10/2018;22.488.001
01/11/2018;22.952.000
02/11/2018;23.094.000
05/11/2018;22.760.000
06/11/2018;22.737.333
07/11/2018;23.210.667
08/11/2018;23.426.666
09/11/2018;23.367.332
12/11/2018;22.085.333
13/11/2018;22.582.001
14/11/2018;22.933.332
15/11/2018;23.229.334
16/11/2018;23.620.667
19/11/2018;23.564.667
20/11/2018;23.166.000
21/11/2018;22.546.000
23/11/2018;21.722.000
26/11/2018;23.066.668
27/11/2018;22.927.999
28/11/2018;23.191.334
29/11/2018;22.744.667
30/11/2018;23.365.334
03/12/2018;23.899.332
04/12/2018;23.980.000
06/12/2018;24.204.000
07/12/2018;23.864.668
10/12/2018;24.343.332
11/12/2018;24.450.666
12/12/2018;24.440.001
13/12/2018;25.119.333
14/12/2018;24.380.667
17/12/2018;23.228.001
18/12/2018;22.468.666
19/12/2018;22.198.000
20/12/2018;21.025.333
21/12/2018;21.318.001
24/12/2018;19.692.667
26/12/2018;21.739.332
27/12/2018;21.075.333
28/12/2018;22.257.999
31/12/2018;22.186.666
02/01/2019;20.674.667
03/01/2019;20.024.000
04/01/2019;21.179.333
07/01/2019;22.330.667
08/01/2019;22.356.667
09/01/2019;22.568.666
10/01/2019;22.997.999
11/01/2019;23.150.667
14/01/2019;22.293.333
15/01/2019;22.962.000
16/01/2019;23.070.000
17/01/2019;23.153.999
18/01/2019;20.150.667
22/01/2019;19.927.999
23/01/2019;19.172.667
24/01/2019;19.434.000
25/01/2019;19.802.668
28/01/2019;19.758.667
29/01/2019;19.830.667
30/01/2019;20.584.667
31/01/2019;20.468.000
01/02/2019;20.813.999
04/02/2019;20.859.333
05/02/2019;21.423.332
06/02/2019;21.148.001
07/02/2019;20.500.668
08/02/2019;20.386.667
11/02/2019;20.856.001
12/02/2019;20.787.333
13/02/2019;20.544.666
14/02/2019;20.251.333
15/02/2019;20.525.333
19/02/2019;20.375.999
20/02/2019;20.170.668
21/02/2019;19.415.333
22/02/2019;19.647.333
25/02/2019;19.917.999
26/02/2019;19.857.332
27/02/2019;20.982.668
28/02/2019;21.325.333
01/03/2019;19.652.666
04/03/2019;19.024.000
05/03/2019;18.436.001
06/03/2019;18.416.000
07/03/2019;18.439.333
08/03/2019;18.942.667
11/03/2019;19.394.667
12/03/2019;18.890.667
13/03/2019;19.264.000
14/03/2019;19.330.667
15/03/2019;18.362.000
18/03/2019;17.966.000
19/03/2019;17.831.333
20/03/2019;18.240.000
21/03/2019;18.268.000
22/03/2019;17.635.332
25/03/2019;17.361.334
26/03/2019;17.851.334
27/03/2019;18.322.001
28/03/2019;18.574.667
29/03/2019;18.657.333
01/04/2019;19.278.667
02/04/2019;19.058.666
03/04/2019;19.454.000
04/04/2019;17.851.999
05/04/2019;18.330.667
08/04/2019;18.213.333
09/04/2019;18.153.999
10/04/2019;18.403.999
11/04/2019;17.894.667
12/04/2019;17.846.666
15/04/2019;17.758.667
16/04/2019;18.224.001
17/04/2019;18.082.001
18/04/2019;18.217.333
22/04/2019;17.516.666
23/04/2019;17.593.332
24/04/2019;17.243.999
25/04/2019;16.508.667
26/04/2019;15.676.000
29/04/2019;16.098.000
30/04/2019;15.912.667
01/05/2019;15.600.667
02/05/2019;16.273.333
03/05/2019;17.002.001
06/05/2019;17.022.667
07/05/2019;16.470.667
08/05/2019;16.322.666
09/05/2019;16.132.000
10/05/2019;15.968.000
13/05/2019;15.134.000
14/05/2019;15.487.333
15/05/2019;15.463.333
16/05/2019;15.222.000
17/05/2019;14.068.667
20/05/2019;13.690.667
21/05/2019;13.672.000
22/05/2019;12.848.667
23/05/2019;13.032.667
24/05/2019;12.708.667
28/05/2019;12.580.000
29/05/2019;12.657.333
30/05/2019;12.548.000
31/05/2019;12.344.000
03/06/2019;11.931.333
04/06/2019;12.906.667
05/06/2019;13.106.000
06/06/2019;13.730.000
07/06/2019;13.633.333
10/06/2019;14.192.000
11/06/2019;14.473.333
12/06/2019;13.950.667
13/06/2019;14.260.667
14/06/2019;14.328.000
17/06/2019;15.002.000
18/06/2019;14.982.667
19/06/2019;15.095.333
20/06/2019;14.641.333
21/06/2019;14.790.667
24/06/2019;14.909.333
25/06/2019;14.650.667
26/06/2019;14.618.000
27/06/2019;14.856.000
28/06/2019;14.897.333
01/07/2019;15.144.667
02/07/2019;14.970.000
03/07/2019;15.660.000
05/07/2019;15.540.000
08/07/2019;15.356.000
09/07/2019;15.337.333
10/07/2019;15.928.000
11/07/2019;15.906.667
12/07/2019;16.338.667
15/07/2019;16.900.000
16/07/2019;16.825.333
17/07/2019;16.990.667
18/07/2019;16.902.666
19/07/2019;17.212.000
22/07/2019;17.045.334
23/07/2019;17.344.667
24/07/2019;17.658.667
25/07/2019;15.254.667
26/07/2019;15.202.667
29/07/2019;15.718.000
30/07/2019;16.150.667
31/07/2019;16.107.332
01/08/2019;15.590.000
02/08/2019;15.622.667
05/08/2019;15.221.333
06/08/2019;15.383.333
07/08/2019;15.561.333
08/08/2019;15.886.667
09/08/2019;15.667.333
12/08/2019;15.267.333
13/08/2019;15.666.667
14/08/2019;14.641.333
15/08/2019;14.376.000
16/08/2019;14.662.667
19/08/2019;15.122.000
20/08/2019;15.057.333
21/08/2019;14.722.000
22/08/2019;14.810.000
23/08/2019;14.093.333
26/08/2019;14.333.333
27/08/2019;14.272.000
28/08/2019;14.372.667
29/08/2019;14.780.667
30/08/2019;15.040.667
03/09/2019;15.000.667
04/09/2019;14.712.000
05/09/2019;15.305.333
06/09/2019;15.163.333
09/09/2019;15.452.667
10/09/2019;15.702.667
11/09/2019;16.473.333
12/09/2019;16.391.333
13/09/2019;16.346.666
16/09/2019;16.187.332
17/09/2019;16.319.332
18/09/2019;16.232.668
19/09/2019;16.440.001
20/09/2019;16.041.332
23/09/2019;16.082.001
24/09/2019;14.880.667
25/09/2019;15.246.667
26/09/2019;16.170.668
27/09/2019;16.142.000
30/09/2019;16.058.001
01/10/2019;16.312.668
02/10/2019;16.208.668
03/10/2019;15.535.333
04/10/2019;15.428.667
07/10/2019;15.848.000
08/10/2019;16.003.332
09/10/2019;16.302.000
10/10/2019;16.316.000
11/10/2019;16.525.999
14/10/2019;17.130.667
15/10/2019;17.192.667
16/10/2019;17.316.668
17/10/2019;17.464.666
18/10/2019;17.129.999
21/10/2019;16.900.000
22/10/2019;17.038.668
23/10/2019;16.978.666
24/10/2019;19.978.666
25/10/2019;21.875.334
28/10/2019;21.847.334
29/10/2019;21.081.333
30/10/2019;21.000.668
31/10/2019;20.994.667
01/11/2019;20.887.333
04/11/2019;21.164.667
05/11/2019;21.148.001
06/11/2019;21.771.999
07/11/2019;22.369.333
08/11/2019;22.476.000
11/11/2019;23.006.001
12/11/2019;23.328.667
13/11/2019;23.073.999
14/11/2019;23.290.001
15/11/2019;23.478.001
18/11/2019;23.332.666
19/11/2019;23.968.000
20/11/2019;23.481.333
21/11/2019;23.655.333
22/11/2019;22.202.667
25/11/2019;22.422.667
26/11/2019;21.927.999
27/11/2019;22.086.000
29/11/2019;21.996.000
02/12/2019;22.324.667
03/12/2019;22.413.334
04/12/2019;22.202.000
05/12/2019;22.024.668
06/12/2019;22.392.668
09/12/2019;22.635.332
10/12/2019;23.256.001
11/12/2019;23.513.332
12/12/2019;23.978.666
13/12/2019;23.892.668
16/12/2019;25.433.332
17/12/2019;25.266.001
18/12/2019;26.209.999
19/12/2019;26.936.001
20/12/2019;27.039.333
23/12/2019;27.948.000
24/12/2019;28.350.000
26/12/2019;28.729.334
27/12/2019;28.691.999
30/12/2019;27.646.667
31/12/2019;27.888.666
02/01/2020;28.684.000
03/01/2020;29.534.000
06/01/2020;30.102.667
07/01/2020;31.270.666
08/01/2020;32.809.334
09/01/2020;32.089.333
10/01/2020;31.876.667
13/01/2020;34.990.665
14/01/2020;35.861.332
15/01/2020;34.566.666
16/01/2020;34.232.666
17/01/2020;34.033.333
21/01/2020;36.480.000
22/01/2020;37.970.669
23/01/2020;38.146.667
24/01/2020;37.654.667
27/01/2020;37.201.332
28/01/2020;37.793.331
29/01/2020;38.732.666
30/01/2020;42.720.669
31/01/2020;43.371.334
03/02/2020;52.000.000
04/02/2020;59.137.333
05/02/2020;48.980.000
06/02/2020;49.930.668
07/02/2020;49.871.334
10/02/2020;51.418.667
11/02/2020;51.625.332
12/02/2020;51.152.668
13/02/2020;53.599.998
14/02/2020;53.335.335
18/02/2020;57.226.665
19/02/2020;61.161.331
20/02/2020;59.960.667
21/02/2020;60.066.666
24/02/2020;55.585.999
25/02/2020;53.327.332
26/02/2020;51.919.998
27/02/2020;45.266.666
28/02/2020;44.532.665
02/03/2020;49.574.669
03/03/2020;49.700.668
04/03/2020;49.966.667
05/03/2020;48.302.666
06/03/2020;46.898.666
09/03/2020;40.533.333
10/03/2020;43.021.999
11/03/2020;42.282.001
12/03/2020;37.369.999
13/03/2020;36.441.334
16/03/2020;29.671.333
17/03/2020;28.680.000
18/03/2020;24.081.333
19/03/2020;28.509.333
20/03/2020;28.502.001
23/03/2020;28.952.667
24/03/2020;33.666.668
25/03/2020;35.950.001
26/03/2020;35.210.667
27/03/2020;34.290.668
30/03/2020;33.475.334
31/03/2020;34.933.334
01/04/2020;32.104.000
02/04/2020;30.298.000
03/04/2020;32.000.668
06/04/2020;34.416.000
07/04/2020;36.363.335
08/04/2020;36.589.333
09/04/2020;38.200.001
13/04/2020;43.396.667
14/04/2020;47.326.000
15/04/2020;48.655.334
16/04/2020;49.680.668
17/04/2020;50.259.335
20/04/2020;49.757.332
21/04/2020;45.781.334
22/04/2020;48.807.335
23/04/2020;47.042.000
24/04/2020;48.343.334
27/04/2020;53.250.000
28/04/2020;51.274.666
29/04/2020;53.367.332
30/04/2020;52.125.332
01/05/2020;46.754.665
04/05/2020;50.745.998
05/05/2020;51.214.001
06/05/2020;52.172.001
07/05/2020;52.002.666
08/05/2020;54.627.998
11/05/2020;54.085.999
12/05/2020;53.960.667
13/05/2020;52.730.667
14/05/2020;53.555.332
15/05/2020;53.278.000
18/05/2020;54.242.001
19/05/2020;53.867.332
20/05/2020;54.370.667
21/05/2020;55.173.332
22/05/2020;54.458.668
26/05/2020;54.591.331
27/05/2020;54.681.999
28/05/2020;53.720.669
29/05/2020;55.666.668
01/06/2020;59.873.333
02/06/2020;58.770.668
03/06/2020;58.863.998
04/06/2020;57.625.332
05/06/2020;59.043.999
08/06/2020;63.327.999
09/06/2020;62.711.334
10/06/2020;68.336.670
11/06/2020;64.856.003
12/06/2020;62.352.001
15/06/2020;66.059.998
16/06/2020;65.475.334
17/06/2020;66.119.331
18/06/2020;66.930.664
19/06/2020;66.726.669
22/06/2020;66.288.002
23/06/2020;66.785.332
24/06/2020;64.056.664
25/06/2020;65.732.002
26/06/2020;63.982.666
29/06/2020;67.290.001
30/06/2020;71.987.335
01/07/2020;74.641.998
02/07/2020;80.577.332
06/07/2020;91.438.667
07/07/2020;92.657.333
08/07/2020;91.058.670
09/07/2020;92.952.003
10/07/2020;102.976.669
13/07/2020;99.804.001
14/07/2020;101.120.003
15/07/2020;103.067.329
16/07/2020;100.042.664
17/07/2020;100.056.000
20/07/2020;109.533.333
21/07/2020;104.557.335
22/07/2020;106.155.334
23/07/2020;100.871.330
24/07/2020;94.466.667
27/07/2020;102.639.999
28/07/2020;98.432.671
29/07/2020;99.940.666
30/07/2020;99.166.000
31/07/2020;95.384.003
03/08/2020;99.000.000
04/08/2020;99.133.331
05/08/2020;99.001.335
06/08/2020;99.305.336
07/08/2020;96.847.336
10/08/2020;94.571.335
11/08/2020;91.625.999
12/08/2020;103.650.665
13/08/2020;108.066.666
14/08/2020;110.047.333
17/08/2020;122.375.999
18/08/2020;125.806.000
19/08/2020;125.235.336
20/08/2020;133.455.338
21/08/2020;136.665.329
24/08/2020;134.279.999
25/08/2020;134.889.328
26/08/2020;143.544.662
27/08/2020;149.250.000
28/08/2020;147.559.998
31/08/2020;166.106.674
01/09/2020;158.350.006
02/09/2020;149.123.337
03/09/2020;135.666.672
04/09/2020;139.440.002
08/09/2020;110.070.000
09/09/2020;122.093.330
10/09/2020;123.779.999
11/09/2020;124.239.998
14/09/2020;139.873.337
15/09/2020;149.919.998
16/09/2020;147.253.326
17/09/2020;141.143.326
18/09/2020;147.383.331
21/09/2020;149.796.661
22/09/2020;141.410.004
23/09/2020;126.786.667
24/09/2020;129.263.336
25/09/2020;135.779.999
28/09/2020;140.399.994
29/09/2020;139.690.002
30/09/2020;143.003.326
01/10/2020;149.386.673
02/10/2020;138.363.327
05/10/2020;141.893.326
06/10/2020;137.993.332
07/10/2020;141.766.663
08/10/2020;141.973.328
09/10/2020;144.666.672
12/10/2020;147.433.334
13/10/2020;148.883.331
14/10/2020;153.766.663
15/10/2020;149.626.663
16/10/2020;146.556.671
19/10/2020;143.610.001
20/10/2020;140.646.667
21/10/2020;140.880.005
22/10/2020;141.929.993
23/10/2020;140.210.007
26/10/2020;140.093.338
27/10/2020;141.559.998
28/10/2020;135.339.996
29/10/2020;136.943.329
30/10/2020;129.346.664
02/11/2020;133.503.326
03/11/2020;141.300.003
04/11/2020;140.326.660
05/11/2020;146.029.999
06/11/2020;143.316.666
09/11/2020;140.419.998
10/11/2020;136.786.667
11/11/2020;139.043.335
12/11/2020;137.253.326
13/11/2020;136.166.672
16/11/2020;136.029.999
17/11/2020;147.203.339
18/11/2020;162.213.333
19/11/2020;166.423.340
20/11/2020;163.203.339
23/11/2020;173.949.997
24/11/2020;185.126.663
25/11/2020;191.333.328
27/11/2020;195.253.326
30/11/2020;189.199.997
01/12/2020;194.919.998
02/12/2020;189.606.674
03/12/2020;197.793.335
04/12/2020;199.679.993
07/12/2020;213.919.998
08/12/2020;216.626.663
09/12/2020;201.493.332
10/12/2020;209.023.331
11/12/2020;203.330.002
14/12/2020;213.276.672
15/12/2020;211.083.328
16/12/2020;207.589.996
17/12/2020;218.633.331
18/12/2020;231.666.672
21/12/2020;216.619.995
22/12/2020;213.446.671
23/12/2020;215.326.660
24/12/2020;220.589.996
28/12/2020;221.229.996
29/12/2020;221.996.674
30/12/2020;231.593.338
31/12/2020;235.223.328
04/01/2021;243.256.668
05/01/2021;245.036.667
06/01/2021;251.993.332
07/01/2021;272.013.336
08/01/2021;293.339.996
11/01/2021;270.396.667
12/01/2021;283.146.667
13/01/2021;284.803.345
14/01/2021;281.666.656
15/01/2021;275.386.658
19/01/2021;281.516.663
20/01/2021;283.483.337
21/01/2021;281.663.330
22/01/2021;282.213.318
25/01/2021;293.600.006
26/01/2021;294.363.342
27/01/2021;288.053.345
28/01/2021;278.476.654
29/01/2021;264.510.010
01/02/2021;279.936.676
02/02/2021;290.929.993
03/02/2021;284.896.667
04/02/2021;283.329.987
05/02/2021;284.076.660
08/02/2021;287.806.671
09/02/2021;283.153.320
10/02/2021;268.273.346
11/02/2021;270.553.345
12/02/2021;272.040.009
16/02/2021;265.406.677
17/02/2021;266.049.988
18/02/2021;262.459.991
19/02/2021;260.433.319
22/02/2021;238.166.672
23/02/2021;232.946.671
24/02/2021;247.339.996
25/02/2021;227.406.662
26/02/2021;225.166.672
01/03/2021;239.476.669
02/03/2021;228.813.339
03/03/2021;217.733.337
04/03/2021;207.146.667
05/03/2021;199.316.666
08/03/2021;187.666.672
09/03/2021;224.526.672
10/03/2021;222.686.661
11/03/2021;233.199.997
12/03/2021;231.243.332
15/03/2021;235.979.996
16/03/2021;225.626.663
17/03/2021;233.936.661
18/03/2021;217.720.001
19/03/2021;218.289.993
22/03/2021;223.333.328
23/03/2021;220.720.001
24/03/2021;210.089.996
25/03/2021;213.463.333
26/03/2021;206.236.664
29/03/2021;203.763.336
30/03/2021;211.873.337
31/03/2021;222.643.326
01/04/2021;220.583.328
05/04/2021;230.350.006
06/04/2021;230.539.993
07/04/2021;223.656.662
08/04/2021;227.933.334
09/04/2021;225.673.340
12/04/2021;233.993.332
13/04/2021;254.106.674
14/04/2021;244.076.660
15/04/2021;246.283.340
16/04/2021;246.593.338
19/04/2021;238.210.007
20/04/2021;239.663.330
21/04/2021;248.039.993
22/04/2021;239.896.667
23/04/2021;243.133.331
26/04/2021;246.066.666
27/04/2021;234.913.330
28/04/2021;231.466.660
29/04/2021;225.666.672
30/04/2021;236.479.996
03/05/2021;228.300.003
04/05/2021;224.533.340
05/05/2021;223.646.667
06/05/2021;221.179.993
07/05/2021;224.123.337
10/05/2021;209.679.993
11/05/2021;205.733.337
12/05/2021;196.630.005
13/05/2021;190.563.339
14/05/2021;196.580.002
17/05/2021;192.276.672
18/05/2021;192.623.337
19/05/2021;187.820.007
20/05/2021;195.593.338
21/05/2021;193.626.663
24/05/2021;202.146.667
25/05/2021;201.563.339
26/05/2021;206.376.663
27/05/2021;210.283.340
28/05/2021;208.406.662
01/06/2021;207.966.660
02/06/2021;201.706.665
03/06/2021;190.946.671
04/06/2021;199.683.334
07/06/2021;201.710.007
08/06/2021;201.196.671
09/06/2021;199.593.338
10/06/2021;203.373.337
11/06/2021;203.296.661
14/06/2021;205.896.667
15/06/2021;199.786.667
16/06/2021;201.623.337
17/06/2021;205.533.340
18/06/2021;207.770.004
21/06/2021;206.943.329
22/06/2021;207.903.336
23/06/2021;218.856.674
24/06/2021;226.606.674
25/06/2021;223.956.665
28/06/2021;229.573.334
29/06/2021;226.919.998
30/06/2021;226.566.666
01/07/2021;225.973.328
02/07/2021;226.300.003
06/07/2021;219.860.001
07/07/2021;214.883.331
08/07/2021;217.603.333
09/07/2021;218.983.337
12/07/2021;228.566.666
13/07/2021;222.846.664
14/07/2021;217.793.335
15/07/2021;216.866.669
16/07/2021;214.740.005
19/07/2021;215.406.662
20/07/2021;220.166.672
21/07/2021;218.429.993
22/07/2021;216.419.998
23/07/2021;214.460.007
26/07/2021;219.206.665
27/07/2021;214.926.666
28/07/2021;215.660.004
29/07/2021;225.783.340
30/07/2021;229.066.666
02/08/2021;236.556.671
03/08/2021;236.580.002
04/08/2021;236.973.328
05/08/2021;238.210.007
06/08/2021;233.033.340
09/08/2021;237.919.998
10/08/2021;236.663.330
11/08/2021;235.940.002
12/08/2021;240.750.000
13/08/2021;239.056.671
16/08/2021;228.723.328
17/08/2021;221.903.336
18/08/2021;229.663.330
19/08/2021;224.490.005
20/08/2021;226.753.326
23/08/2021;235.433.334
24/08/2021;236.163.330
25/08/2021;237.066.666
26/08/2021;233.720.001
27/08/2021;237.306.671
30/08/2021;243.636.673
